id,name,weight,height,types,types2,url,abilities,evolutions
1,Bulbasaur,6.9 kg (15.2 lbs),0.7 m (2′04″),Grass,Poison,https://pokemondb.net/pokedex/bulbasaur,"[{'name': 'Overgrow', 'text': ""increases the power of  -type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as  )."", 'url': 'https://pokemondb.net/ability/overgrow'}]","[{'IdEvolucao': '#0001', 'NomeEvolucao': 'Bulbasaur', 'UrlEvolucao': 'https://pokemondb.net/pokedex/bulbasaur'}, {'IdEvolucao': '#0002', 'NomeEvolucao': 'Ivysaur', 'UrlEvolucao': 'https://pokemondb.net/pokedex/ivysaur'}, {'IdEvolucao': '#0003', 'NomeEvolucao': 'Venusaur', 'UrlEvolucao': 'https://pokemondb.net/pokedex/venusaur'}]"
21,Spearow,2.0 kg (4.4 lbs),0.3 m (1′00″),Normal,Flying,https://pokemondb.net/pokedex/spearow,"[{'name': 'Keen Eye', 'text': 'prevents the Pokémon from losing accuracy, for example from moves like  . If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% less likely to be lower level.', 'url': 'https://pokemondb.net/ability/keen-eye'}]","[{'IdEvolucao': '#0021', 'NomeEvolucao': 'Spearow', 'UrlEvolucao': 'https://pokemondb.net/pokedex/spearow'}, {'IdEvolucao': '#0022', 'NomeEvolucao': 'Fearow', 'UrlEvolucao': 'https://pokemondb.net/pokedex/fearow'}]"
20,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,https://pokemondb.net/pokedex/raticate,"[{'name': 'Hustle', 'text': ""increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level."", 'url': 'https://pokemondb.net/ability/hustle'}]","[{'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}, {'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}]"
20,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,https://pokemondb.net/pokedex/raticate,"[{'name': 'Hustle', 'text': ""increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level."", 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Run Away', 'text': 'allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like   or  , or has an ability such as  . Pokémon with   cannot switch out for another Pokémon, only flee. It does not allow the Pokémon to flee from Trainer battles.', 'url': 'https://pokemondb.net/ability/run-away'}]","[{'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}, {'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}]"
23,Ekans,6.9 kg (15.2 lbs),2.0 m (6′07″),Poison,,https://pokemondb.net/pokedex/ekans,"[{'name': 'Shed Skin', 'text': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}]","[{'IdEvolucao': '#0023', 'NomeEvolucao': 'Ekans', 'UrlEvolucao': 'https://pokemondb.net/pokedex/ekans'}, {'IdEvolucao': '#0024', 'NomeEvolucao': 'Arbok', 'UrlEvolucao': 'https://pokemondb.net/pokedex/arbok'}]"
26,Raichu,30.0 kg (66.1 lbs),0.8 m (2′07″),Electric,Psychic,https://pokemondb.net/pokedex/raichu,"[{'name': 'Static', 'text': 'If a Pokémon with   is hit by a move making contact, there is a 30% chance the foe will become paralyzed. If a Pokémon with   is the leading party Pokémon, it is 50% more likely that a wild Pokémon encountered will be   type.', 'url': 'https://pokemondb.net/ability/static'}]","[{'IdEvolucao': '#0172', 'NomeEvolucao': 'Pichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pichu'}, {'IdEvolucao': '#0025', 'NomeEvolucao': 'Pikachu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pikachu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}]"
20,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,https://pokemondb.net/pokedex/raticate,"[{'name': 'Hustle', 'text': ""increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level."", 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Run Away', 'text': 'allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like   or  , or has an ability such as  . Pokémon with   cannot switch out for another Pokémon, only flee. It does not allow the Pokémon to flee from Trainer battles.', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Guts', 'text': ""raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack. All other effects of the status condition remain, e.g. losing HP each turn (poison, burn), speed drop (paralysis) or being unable to attack (paralysis, freeze, sleep)."", 'url': 'https://pokemondb.net/ability/guts'}]","[{'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}, {'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}]"
26,Raichu,30.0 kg (66.1 lbs),0.8 m (2′07″),Electric,Psychic,https://pokemondb.net/pokedex/raichu,"[{'name': 'Static', 'text': 'If a Pokémon with   is hit by a move making contact, there is a 30% chance the foe will become paralyzed. If a Pokémon with   is the leading party Pokémon, it is 50% more likely that a wild Pokémon encountered will be   type.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Surge Surfer', 'text': ""doubles the bearer's Speed when   is active. No Pokémon have   as a hidden ability."", 'url': 'https://pokemondb.net/ability/surge-surfer'}]","[{'IdEvolucao': '#0172', 'NomeEvolucao': 'Pichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pichu'}, {'IdEvolucao': '#0025', 'NomeEvolucao': 'Pikachu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pikachu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}]"
23,Ekans,6.9 kg (15.2 lbs),2.0 m (6′07″),Poison,,https://pokemondb.net/pokedex/ekans,"[{'name': 'Shed Skin', 'text': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'name': 'Intimidate', 'text': ""lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle). Stats can be lowered to a minimum of -6 stages each. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% less likely to be lower level."", 'url': 'https://pokemondb.net/ability/intimidate'}]","[{'IdEvolucao': '#0023', 'NomeEvolucao': 'Ekans', 'UrlEvolucao': 'https://pokemondb.net/pokedex/ekans'}, {'IdEvolucao': '#0024', 'NomeEvolucao': 'Arbok', 'UrlEvolucao': 'https://pokemondb.net/pokedex/arbok'}]"
17,Pidgeotto,30.0 kg (66.1 lbs),1.1 m (3′07″),Normal,Flying,https://pokemondb.net/pokedex/pidgeotto,"[{'name': 'Tangled Feet', 'text': 'Raises evasion if the Pokémon is confused.', 'url': 'https://pokemondb.net/ability/tangled-feet'}]","[{'IdEvolucao': '#0016', 'NomeEvolucao': 'Pidgey', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgey'}, {'IdEvolucao': '#0017', 'NomeEvolucao': 'Pidgeotto', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeotto'}, {'IdEvolucao': '#0018', 'NomeEvolucao': 'Pidgeot', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeot'}]"
